id,batch,name,title,summary,path,depends_on
PG223,66,b66-typescript-project-profile-detector,TypeScript Project Profile Detector,"Inspect and model TypeScript Project Profile Detector for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-typescript-project-profile-detector/SKILL.md,PG183 PG184 PG185 PG191 PG222
PG224,66,b66-node-runtime-lockfile-reproducer,Node Runtime Lockfile Reproducer,"Reproduce deterministically Node Runtime Lockfile Reproducer for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-node-runtime-lockfile-reproducer/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG223
PG225,66,b66-typescript-monorepo-scaffolder,TypeScript Monorepo Scaffolder,"Generate runnable and maintainable TypeScript Monorepo Scaffolder for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-typescript-monorepo-scaffolder/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG224
PG226,66,b66-nestjs-fastify-api-generator,NestJS Fastify API Generator,"Generate runnable and maintainable NestJS Fastify API Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-nestjs-fastify-api-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG225
PG227,66,b66-nextjs-fullstack-generator,Next.js Fullstack Generator,"Generate runnable and maintainable Next.js Fullstack Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-nextjs-fullstack-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG226
PG228,66,b66-react-vite-spa-generator,React Vite Spa Generator,"Generate runnable and maintainable React Vite Spa Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-react-vite-spa-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG227
PG229,66,b66-vue-nuxt-app-generator,Vue Nuxt App Generator,"Generate runnable and maintainable Vue Nuxt App Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-vue-nuxt-app-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG228
PG230,66,b66-node-worker-cli-generator,Node Worker CLI Generator,"Generate runnable and maintainable Node Worker CLI Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-node-worker-cli-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG229
PG231,66,b66-typescript-data-access-generator,TypeScript Data Access Generator,"Generate runnable and maintainable TypeScript Data Access Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-typescript-data-access-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG230
PG232,66,b66-typescript-contract-client-generator,TypeScript Contract Client Generator,"Generate runnable and maintainable TypeScript Contract Client Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-typescript-contract-client-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG231
PG233,66,b66-typescript-test-harness-generator,TypeScript Test Harness Generator,"Generate runnable and maintainable TypeScript Test Harness Generator for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-typescript-test-harness-generator/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG232
PG234,66,b66-node-build-run-repair-certifier,Node Build Run Repair Certifier,"Execute and independently verify Node Build Run Repair Certifier for TypeScript/JavaScript full-stack, Node.js, React, Vue, Nuxt, Next.js, workers, data access, contracts, and tests, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b66-node-build-run-repair-certifier/SKILL.md,PG183 PG184 PG185 PG191 PG222 PG233
PG235,67,b67-go-repository-profile-detector,Go Repository Profile Detector,"Inspect and model Go Repository Profile Detector for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-repository-profile-detector/SKILL.md,PG183 PG184 PG185 PG191 PG234
PG236,67,b67-go-module-workspace-reproducer,Go Module Workspace Reproducer,"Reproduce deterministically Go Module Workspace Reproducer for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-module-workspace-reproducer/SKILL.md,PG183 PG184 PG185 PG191 PG234 PG235
PG237,67,b67-go-http-grpc-service-generator,Go HTTP gRPC Service Generator,"Generate runnable and maintainable Go HTTP gRPC Service Generator for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-http-grpc-service-generator/SKILL.md,PG183 PG184 PG185 PG191 PG234 PG236
PG238,67,b67-go-cli-generator,Go CLI Generator,"Generate runnable and maintainable Go CLI Generator for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-cli-generator/SKILL.md,PG183 PG184 PG185 PG191 PG234 PG237
PG239,67,b67-go-worker-event-consumer-generator,Go Worker Event Consumer Generator,"Generate runnable and maintainable Go Worker Event Consumer Generator for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-worker-event-consumer-generator/SKILL.md,PG183 PG184 PG185 PG191 PG234 PG238
PG240,67,b67-go-data-access-transaction-generator,Go Data Access Transaction Generator,"Generate runnable and maintainable Go Data Access Transaction Generator for Go modules, HTTP/gRPC services, CLI tools, workers, concurrency, operators, MCP servers, tests, and cross-compilation, preserving ownership, compatibility, security, reproducibility, and evidence boundaries.",agent-skills/runtime/b67-go-data-access-transaction-generator/SKILL.md,PG183 PG184 PG185 PG191 PG234 PG239
